"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Střední odborná škola pedagogická. gymnázium a vyšší odborná škola Karlovy Vary","Český jazyk a literatura","SOŠ pedagogické a humanitní","Didaktický test",51,2,,"50.2","13.0"
"Střední odborná škola a střední odborné učiliště Nejdek","Český jazyk a literatura","SOŠ pedagogické a humanitní","Didaktický test",9,1,,"44.9","10.2"
"Střední zdravotnická škola a vyšší odborná škola Cheb","Český jazyk a literatura","SOŠ pedagogické a humanitní","Didaktický test",6,1,,"46.8","12.8"
"Integrovaná střední škola technická a ekonomická Sokolov","Český jazyk a literatura","SOŠ pedagogické a humanitní","Didaktický test",9,1,,"48.6","15.7"
"TRIVIS - Střední škola veřejnoprávní Karlovy Vary. s.r.o.","Český jazyk a literatura","SOŠ pedagogické a humanitní","Didaktický test",34,7,,"42.4","14.6"
"Střední škola živnostenská Sokolov. příspěvková organizace","Český jazyk a literatura","SOŠ pedagogické a humanitní","Didaktický test",8,1,,"38.4","11.1"
"Střední průmyslová škola Ostrov","Český jazyk a literatura","SOŠ technické 1","Didaktický test",59,2,,"57.0","12.5"
"Střední průmyslová škola keramická a sklářská Karlovy Vary","Český jazyk a literatura","SOŠ technické 1","Didaktický test",5,2,,"38.2","15.6"
"Střední odborná škola stavební Karlovy Vary","Český jazyk a literatura","SOŠ technické 1","Didaktický test",9,2,,"46.9","15.1"
"Střední průmyslová škola Loket","Český jazyk a literatura","SOŠ technické 1","Didaktický test",39,9,,"37.7","12.8"
