"skola","predmet","obor","kraj","typ","konali","neuspeli","volba","prumer","odchylka"
"Střední škola informatiky. poštovnictví a finančnictví Brno. příspěvková organizace","Anglický jazyk","SOU technické (nástavby)","Jihomoravský","Didaktický test",108,11,"82.4","51.6","17.5"
"Střední škola informatiky. poštovnictví a finančnictví Brno. příspěvková organizace","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihomoravský","Didaktický test",108,11,"82.4","51.6","17.5"
"Střední škola informatiky. poštovnictví a finančnictví Brno. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Jihomoravský","Didaktický test",108,11,"82.4","51.6","17.5"
"Střední škola informatiky. poštovnictví a finančnictví Brno. příspěvková organizace","Anglický jazyk","SOŠ technické 2","Jihomoravský","Didaktický test",108,11,"82.4","51.6","17.5"
"Střední škola informatiky. poštovnictví a finančnictví Brno. příspěvková organizace","Anglický jazyk","SOU technické","Jihomoravský","Didaktický test",108,11,"82.4","51.6","17.5"
"Střední škola informatiky a služeb. Dvůr Králové nad Labem. Elišky Krásnohorské 2069","Anglický jazyk","SOŠ hotelové a podnikatelské","Královéhradecký","Didaktický test",62,6,"81.8","49.5","18.3"
"Střední škola informatiky a služeb. Dvůr Králové nad Labem. Elišky Krásnohorské 2069","Anglický jazyk","SOŠ technické 1","Královéhradecký","Didaktický test",62,6,"81.8","49.5","18.3"
"Střední škola informatiky a služeb. Dvůr Králové nad Labem. Elišky Krásnohorské 2069","Anglický jazyk","SOU ostatní","Královéhradecký","Didaktický test",62,6,"81.8","49.5","18.3"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Anglický jazyk","Lyceum","Ústecký","Didaktický test",42,4,85,"46.9","15.1"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Anglický jazyk","SOŠ ekonomické","Ústecký","Didaktický test",42,4,85,"46.9","15.1"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Anglický jazyk","SOŠ pedagogické a humanitní","Ústecký","Didaktický test",42,4,85,"46.9","15.1"
"Obchodní akademie a Střední odborná škola generála Františka Fajtla. Louny. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Ústecký","Didaktický test",42,4,85,"46.9","15.1"
"Obchodní akademie a Střední odborná škola zemědělská a ekologická. Žatec. příspěvková organizace","Anglický jazyk","Lyceum","Ústecký","Didaktický test",54,4,"91.3","48.3","15.8"
"Obchodní akademie a Střední odborná škola zemědělská a ekologická. Žatec. příspěvková organizace","Anglický jazyk","SOŠ ekonomické","Ústecký","Didaktický test",54,4,"91.3","48.3","15.8"
"Obchodní akademie a Střední odborná škola zemědělská a ekologická. Žatec. příspěvková organizace","Anglický jazyk","SOŠ zemědělské","Ústecký","Didaktický test",54,4,"91.3","48.3","15.8"
"Střední průmyslová škola a Obchodní akademie. Bruntál. příspěvková organizace","Anglický jazyk","SOŠ ekonomické","Moravskoslezský","Didaktický test",62,4,"80.2",51,"15.2"
"Střední průmyslová škola a Obchodní akademie. Bruntál. příspěvková organizace","Anglický jazyk","SOŠ hotelové a podnikatelské","Moravskoslezský","Didaktický test",62,4,"80.2",51,"15.2"
"Střední průmyslová škola a Obchodní akademie. Bruntál. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Moravskoslezský","Didaktický test",62,4,"80.2",51,"15.2"
"Střední škola elektrostavební a dřevozpracující. Frýdek-Místek. příspěvková organizace","Anglický jazyk","SOU technické (nástavby)","Moravskoslezský","Didaktický test",36,2,60,49,15
"Střední škola elektrostavební a dřevozpracující. Frýdek-Místek. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Moravskoslezský","Didaktický test",36,2,60,49,15
"Střední škola elektrostavební a dřevozpracující. Frýdek-Místek. příspěvková organizace","Anglický jazyk","SOŠ technické 2","Moravskoslezský","Didaktický test",36,2,60,49,15
"Hotelová škola Mariánské Lázně","Anglický jazyk","SOU ostatní (nástavby)","Karlovarský","Didaktický test",42,2,"86.8","46.6",15
"Hotelová škola Mariánské Lázně","Anglický jazyk","SOŠ hotelové a podnikatelské","Karlovarský","Didaktický test",42,2,"86.8","46.6",15
"Obchodní akademie. Střední pedagogická škola a Jazyková škola s právem státní jazykové zkoušky. Beroun. U Stadionu 486","Ruský jazyk","SOŠ pedagogické a humanitní","Středočeský","Didaktický test",12,0,"7.1","48.8","12.9"
"Obchodní akademie Tomáše Bati a Vyšší odborná škola ekonomická Zlín","Ruský jazyk","SOŠ ekonomické","Zlínský","Ústní zkouška",6,1,"7.4","36.6","26.9"
"Střední odborná škola a Střední odborné učiliště. Kralupy nad Vltavou. Cesta brigádníků 693","Anglický jazyk","SOŠ technické 1","Středočeský","Ústní zkouška",10,0,"82.4","42.1","16.8"
"Střední odborná škola a Střední odborné učiliště. Kralupy nad Vltavou. Cesta brigádníků 693","Anglický jazyk","SOU technické","Středočeský","Ústní zkouška",10,0,"82.4","42.1","16.8"
"Střední zemědělská škola Dalovice","Německý jazyk","SOŠ zemědělské","Karlovarský","Ústní zkouška",2,0,"21.7","56.5","12.7"
"Soukromá střední škola obchodu. služeb a provozu hotelů s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihočeský","Ústní zkouška",6,1,80,"38.8","24.8"
"Střední škola automobilní a informatiky","Anglický jazyk","SOU ostatní (nástavby)","Praha","Ústní zkouška",60,6,"64.2","39.5","19.6"
"Soukromá obchodní akademie. spol. s r.o.","Anglický jazyk","SOŠ ekonomické","Ústecký","Ústní zkouška",10,1,"73.7","45.6","23.2"
"Střední škola automobilní a informatiky","Anglický jazyk","SOŠ technické 1","Praha","Ústní zkouška",60,6,"64.2","39.5","19.6"
"Střední průmyslová škola Jedovnice. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Jihomoravský","Ústní zkouška",20,2,"58.8","44.5","19.9"
"Střední škola automobilní a informatiky","Anglický jazyk","SOŠ technické 2","Praha","Ústní zkouška",60,6,"64.2","39.5","19.6"
"Střední škola automobilní a informatiky","Anglický jazyk","SOU technické","Praha","Ústní zkouška",60,6,"64.2","39.5","19.6"
"Gymnázium.  střední odborná škola. střední odborné učiliště a vyšší odborná škola. Hořice","Anglický jazyk","Gymnázium 8 leté","Královéhradecký","Ústní zkouška",55,5,"74.4","37.6",22
"Gymnázium.  střední odborná škola. střední odborné učiliště a vyšší odborná škola. Hořice","Anglický jazyk","Lyceum","Královéhradecký","Ústní zkouška",55,5,"74.4","37.6",22
"Gymnázium.  střední odborná škola. střední odborné učiliště a vyšší odborná škola. Hořice","Anglický jazyk","SOŠ ekonomické","Královéhradecký","Ústní zkouška",55,5,"74.4","37.6",22
"Gymnázium.  střední odborná škola. střední odborné učiliště a vyšší odborná škola. Hořice","Anglický jazyk","SOŠ pedagogické a humanitní","Královéhradecký","Ústní zkouška",55,5,"74.4","37.6",22
"Gymnázium.  střední odborná škola. střední odborné učiliště a vyšší odborná škola. Hořice","Anglický jazyk","SOŠ zemědělské","Královéhradecký","Ústní zkouška",55,5,"74.4","37.6",22
"Střední odborné učiliště a Střední odborná škola Svazu českých a moravských spotřebních družstev. Znojmo. s.r.o.","Německý jazyk","SOU ostatní (nástavby)","Jihomoravský","Ústní zkouška",16,1,"27.8","48.6","17.2"
"Střední odborné učiliště a Střední odborná škola Svazu českých a moravských spotřebních družstev. Znojmo. s.r.o.","Německý jazyk","SOŠ hotelové a podnikatelské","Jihomoravský","Ústní zkouška",16,1,"27.8","48.6","17.2"
"Střední odborné učiliště a Střední odborná škola Svazu českých a moravských spotřebních družstev. Znojmo. s.r.o.","Německý jazyk","SOŠ pedagogické a humanitní","Jihomoravský","Ústní zkouška",16,1,"27.8","48.6","17.2"
"Střední odborné učiliště a Střední odborná škola Svazu českých a moravských spotřebních družstev. Znojmo. s.r.o.","Německý jazyk","SOU ostatní","Jihomoravský","Ústní zkouška",16,1,"27.8","48.6","17.2"
"Střední škola uměleckoprůmyslová Ústí nad Orlicí","Anglický jazyk","SOŠ technické 2","Pardubický","Ústní zkouška",56,3,"88.4",44,"20.8"
"Střední škola uměleckoprůmyslová Ústí nad Orlicí","Anglický jazyk","SOŠ umělecké","Pardubický","Ústní zkouška",56,3,"88.4",44,"20.8"
"Střední škola uměleckoprůmyslová Ústí nad Orlicí","Anglický jazyk","SOU technické","Pardubický","Ústní zkouška",56,3,"88.4",44,"20.8"
"Obchodní akademie. Praha 3. Kubelíkova 37","Anglický jazyk","Lyceum","Praha","Ústní zkouška",40,2,"86.4","42.6","21.5"
"Obchodní akademie. Praha 3. Kubelíkova 37","Anglický jazyk","SOŠ ekonomické","Praha","Ústní zkouška",40,2,"86.4","42.6","21.5"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Brno. Merhautova. příspěvková organizace","Anglický jazyk","SOŠ zdravotnické","Jihomoravský","Ústní zkouška",70,2,"76.5","41.6","16.8"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Brno. Merhautova. příspěvková organizace","Anglický jazyk","SOU ostatní","Jihomoravský","Ústní zkouška",70,2,"76.5","41.6","16.8"
"Střední průmyslová škola. Přerov. Havlíčkova 2","Anglický jazyk","Lyceum","Olomoucký","Ústní zkouška",24,0,"43.3","41.9","17.3"
"Střední odborné učiliště. Praha 4. Ohradní 57","Anglický jazyk","SOU technické (nástavby)","Praha","Ústní zkouška",8,0,"63.6","39.9","13.7"
"Hotelová škola Vincenze Priessnitze. Jeseník. Dukelská 680","Anglický jazyk","SOŠ ekonomické","Olomoucký","Ústní zkouška",34,0,"77.8","44.4","15.2"
"Střední škola Podnikatelská akademie a základní škola. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Praha","Ústní zkouška",16,0,"74.2","38.3","16.6"
"Střední škola hotelnictví a gastronomie SČMSD Praha. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Praha","Ústní zkouška",30,0,"84.4","48.2","18.2"
"Hotelová škola Vincenze Priessnitze. Jeseník. Dukelská 680","Anglický jazyk","SOŠ hotelové a podnikatelské","Olomoucký","Ústní zkouška",34,0,"77.8","44.4","15.2"
"Střední průmyslová škola. Přerov. Havlíčkova 2","Anglický jazyk","SOŠ technické 1","Olomoucký","Ústní zkouška",24,0,"43.3","41.9","17.3"
"Střední lesnická škola Žlutice","Anglický jazyk","SOŠ zemědělské","Karlovarský","Ústní zkouška",6,0,"56.3","39.2","21.3"
"Střední škola hotelnictví a gastronomie SČMSD Praha. s.r.o.","Anglický jazyk","SOU ostatní","Praha","Ústní zkouška",30,0,"84.4","48.2","18.2"
"Střední odborné učiliště. Praha 4. Ohradní 57","Anglický jazyk","SOU technické","Praha","Ústní zkouška",8,0,"63.6","39.9","13.7"
"Gymnázium. Dačice. Boženy Němcové 213","Německý jazyk","Gymnázium 4 leté","Jihočeský","Ústní zkouška",8,0,"16.7","51.2","14.9"
"Obchodní akademie. vyšší odborná škola cestovního ruchu a jazyková škola s právem státní jazykové zkoušky Karlovy Vary","Německý jazyk","SOŠ hotelové a podnikatelské","Karlovarský","Ústní zkouška",6,0,"11.5",57,"11.6"
"Soukromé střední odborné učiliště INDUSTRIA spol. s r.o.","Ruský jazyk","SOU ostatní (nástavby)","Ústecký","Ústní zkouška",2,0,25,"24.1","1.8"
"Gymnázium Havlíčkův Brod","Matematika","Gymnázium 4 leté","Vysočina","Didaktický test",38,2,"42.2","63.6","22.5"
"Gymnázium Havlíčkův Brod","Matematika","Gymnázium 8 leté","Vysočina","Didaktický test",38,2,"42.2","63.6","22.5"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Matematika","Gymnázium 4 leté","Liberecký","Didaktický test",24,1,"32.5","69.8","18.1"
"Gymnázium Dr. Antona Randy. Jablonec nad Nisou. příspěvková organizace","Matematika","Gymnázium 8 leté","Liberecký","Didaktický test",24,1,"32.5","69.8","18.1"
"Česko-anglické gymnázium s.r.o.","Český jazyk a literatura","Gymnázium 4 leté","Jihočeský","Didaktický test",24,0,,"65.4","15.9"
"Gymnázium Jaroslava Vrchlického. Klatovy. Národních mučedníků 347","Matematika","Gymnázium 4 leté","Plzeňský","Didaktický test",50,0,"50.5","71.3","15.3"
"The English College in Prague - Anglické gymnázium. o.p.s.","Český jazyk a literatura","Gymnázium 6 leté","Praha","Didaktický test",60,0,,"68.1","11.8"
"Česko-anglické gymnázium s.r.o.","Český jazyk a literatura","Gymnázium 8 leté","Jihočeský","Didaktický test",24,0,,"65.4","15.9"
"Gymnázium Jaroslava Vrchlického. Klatovy. Národních mučedníků 347","Matematika","Gymnázium 6 leté","Plzeňský","Didaktický test",50,0,"50.5","71.3","15.3"
"Gymnázium Jaroslava Vrchlického. Klatovy. Národních mučedníků 347","Matematika","Gymnázium 8 leté","Plzeňský","Didaktický test",50,0,"50.5","71.3","15.3"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Anglický jazyk","SOU ostatní (nástavby)","Jihočeský","Didaktický test",60,8,"62.8","48.4","18.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihočeský","Didaktický test",60,8,"62.8","48.4","18.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Anglický jazyk","SOŠ technické 1","Jihočeský","Didaktický test",60,8,"62.8","48.4","18.6"
"Vyšší odborná škola. Střední škola. Centrum odborné přípravy. Sezimovo Ústí. Budějovická 421","Anglický jazyk","SOU technické","Jihočeský","Didaktický test",60,8,"62.8","48.4","18.6"
"Vyšší odborná škola zdravotnická a Střední škola zdravotnická. Ústí nad Labem. Palachova 35. příspěvková organizace","Anglický jazyk","Lyceum","Ústecký","Didaktický test",89,9,"75.7","44.2","14.7"
"Vyšší odborná škola zdravotnická a Střední škola zdravotnická. Ústí nad Labem. Palachova 35. příspěvková organizace","Anglický jazyk","SOŠ zdravotnické","Ústecký","Didaktický test",89,9,"75.7","44.2","14.7"
"Vyšší odborná škola zdravotnická a Střední škola zdravotnická. Ústí nad Labem. Palachova 35. příspěvková organizace","Anglický jazyk","SOU ostatní","Ústecký","Didaktický test",89,9,"75.7","44.2","14.7"
"Vyšší odborná škola ekonomická a zdravotnická a Střední škola Boskovice. příspěvková organizace","Anglický jazyk","SOŠ ekonomické","Jihomoravský","Didaktický test",91,9,"72.3","47.2","17.2"
"Vyšší odborná škola ekonomická a zdravotnická a Střední škola Boskovice. příspěvková organizace","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihomoravský","Didaktický test",91,9,"72.3","47.2","17.2"
"Vyšší odborná škola ekonomická a zdravotnická a Střední škola Boskovice. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Jihomoravský","Didaktický test",91,9,"72.3","47.2","17.2"
"Vyšší odborná škola ekonomická a zdravotnická a Střední škola Boskovice. příspěvková organizace","Anglický jazyk","SOŠ zemědělské","Jihomoravský","Didaktický test",91,9,"72.3","47.2","17.2"
"Obchodní akademie. Střední odborná škola a Střední odborné učiliště. Třeboň. Vrchlického 567","Anglický jazyk","SOU ostatní (nástavby)","Jihočeský","Didaktický test",31,3,"62.7","52.6","18.9"
"Obchodní akademie. Střední odborná škola a Střední odborné učiliště. Třeboň. Vrchlického 567","Anglický jazyk","SOŠ ekonomické","Jihočeský","Didaktický test",31,3,"62.7","52.6","18.9"
"Obchodní akademie. Střední odborná škola a Střední odborné učiliště. Třeboň. Vrchlického 567","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihočeský","Didaktický test",31,3,"62.7","52.6","18.9"
"Obchodní akademie. Střední odborná škola a Střední odborné učiliště. Třeboň. Vrchlického 567","Anglický jazyk","SOŠ umělecké","Jihočeský","Didaktický test",31,3,"62.7","52.6","18.9"
"Střední škola Brno. Charbulova. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Jihomoravský","Didaktický test",125,10,"79.7","45.9","15.8"
"Střední škola Brno. Charbulova. příspěvková organizace","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihomoravský","Didaktický test",125,10,"79.7","45.9","15.8"
"Střední škola Brno. Charbulova. příspěvková organizace","Anglický jazyk","SOU ostatní","Jihomoravský","Didaktický test",125,10,"79.7","45.9","15.8"
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Hradec Králové.               Komenského 234","Anglický jazyk","Lyceum","Královéhradecký","Didaktický test",102,8,"84.3","46.9","15.6"
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Hradec Králové.               Komenského 234","Anglický jazyk","SOŠ zdravotnické","Královéhradecký","Didaktický test",102,8,"84.3","46.9","15.6"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická. Liberec. Kostelní 9. příspěvková organizace","Anglický jazyk","SOŠ zdravotnické","Liberecký","Didaktický test",30,2,"83.8","52.1","16.7"
"Soukromá podnikatelská střední škola Česká Lípa s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Liberecký","Didaktický test",19,1,"95.2","51.7","12.3"
"Vyšší odborná škola uměleckoprůmyslová a Střední uměleckoprůmyslová škola. Praha 3. Žižkovo náměstí 1","Anglický jazyk","SOŠ technické 2","Praha","Didaktický test",59,3,"92.3","49.4","17.4"
"Vyšší odborná škola uměleckoprůmyslová a Střední uměleckoprůmyslová škola. Praha 3. Žižkovo náměstí 1","Anglický jazyk","SOŠ umělecké","Praha","Didaktický test",59,3,"92.3","49.4","17.4"
"Švehlova střední škola polytechnická Prostějov","Anglický jazyk","SOU ostatní (nástavby)","Olomoucký","Didaktický test",29,1,"90.2","52.8","13.1"
"Švehlova střední škola polytechnická Prostějov","Anglický jazyk","SOŠ technické 2","Olomoucký","Didaktický test",29,1,"90.2","52.8","13.1"
"Švehlova střední škola polytechnická Prostějov","Anglický jazyk","SOU technické","Olomoucký","Didaktický test",29,1,"90.2","52.8","13.1"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická. České Budějovice. Husova 3","Anglický jazyk","Lyceum","Jihočeský","Didaktický test",91,3,"76.9","47.5",15
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická. České Budějovice. Husova 3","Anglický jazyk","SOŠ zdravotnické","Jihočeský","Didaktický test",91,3,"76.9","47.5",15
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická. České Budějovice. Husova 3","Anglický jazyk","SOU ostatní","Jihočeský","Didaktický test",91,3,"76.9","47.5",15
"Střední škola uměleckomanažerská. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihomoravský","Didaktický test",31,1,"97.2","49.5","16.8"
"Střední škola uměleckomanažerská. s.r.o.","Anglický jazyk","SOŠ umělecké","Jihomoravský","Didaktický test",31,1,"97.2","49.5","16.8"
"Střední škola mediální grafiky a tisku. s.r.o.","Anglický jazyk","SOU ostatní","Praha","Didaktický test",31,1,"85.4","54.8","16.2"
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Trutnov. Procházkova 303","Anglický jazyk","Lyceum","Královéhradecký","Didaktický test",35,0,"97.4","50.2",13
"Střední odborné učiliště a Základní škola. Planá","Anglický jazyk","SOU ostatní (nástavby)","Plzeňský","Didaktický test",3,0,40,"60.1","17.9"
"Střední odborné učiliště. Lázně Bělohrad. Zámecká 478","Anglický jazyk","SOU ostatní (nástavby)","Královéhradecký","Didaktický test",13,0,70,"51.1","10.2"
"Vyšší odborná škola pedagogická a sociální a Střední pedagogická škola Kroměříž","Anglický jazyk","SOŠ pedagogické a humanitní","Zlínský","Didaktický test",60,0,"96.8","51.6","11.5"
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Trutnov. Procházkova 303","Anglický jazyk","SOŠ zdravotnické","Královéhradecký","Didaktický test",35,0,"97.4","50.2",13
"Gymnázium a Střední průmyslová škola elektrotechniky a informatiky. Frenštát pod Radhoštěm. příspěvková organizace","Ruský jazyk","Gymnázium 4 leté","Moravskoslezský","Didaktický test",7,0,"6.3","48.2",7
"Sportovní gymnázium. Pardubice. Dašická 268","Anglický jazyk","Gymnázium 4 leté","Pardubický","Didaktický test",21,0,"56.5","52.8","12.7"
"Obchodní akademie. České Budějovice. Husova 1","Německý jazyk","SOŠ ekonomické","Jihočeský","Didaktický test",5,0,"6.3","66.9","15.3"
"Obchodní akademie. Střední odborná škola a Střední odborné učiliště. Třeboň. Vrchlického 567","Německý jazyk","SOU ostatní (nástavby)","Jihočeský","Didaktický test",4,1,"10.4","54.6","27.8"
"Střední průmyslová škola a Střední odborné učiliště Pelhřimov","Anglický jazyk","SOU ostatní (nástavby)","Vysočina","Didaktický test",36,4,"67.1","45.2","17.9"
"Střední průmyslová škola a Střední odborné učiliště Pelhřimov","Anglický jazyk","SOŠ technické 1","Vysočina","Didaktický test",36,4,"67.1","45.2","17.9"
"Střední průmyslová škola a Střední odborné učiliště Pelhřimov","Anglický jazyk","SOU technické","Vysočina","Didaktický test",36,4,"67.1","45.2","17.9"
"Střední zdravotnická škola Kroměříž","Ruský jazyk","SOŠ zdravotnické","Zlínský","Didaktický test",16,0,"29.1","53.1",12
"Střední škola hotelnictví a gastronomie International. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Praha","Písemná práce",21,4,"90.3","34.4","18.4"
"Vyšší odborná škola a Střední škola. s.r.o.","Anglický jazyk","SOŠ ekonomické","Jihočeský","Písemná práce",23,4,"89.3","42.2","21.8"
"Vyšší odborná škola a Střední škola. s.r.o.","Anglický jazyk","SOŠ technické 2","Jihočeský","Písemná práce",23,4,"89.3","42.2","21.8"
"Střední škola - Podorlické vzdělávací centrum. Dobruška","Ruský jazyk","SOU ostatní (nástavby)","Královéhradecký","Písemná práce",6,1,"6.8","36.5","27.4"
"Střední škola diplomacie a veřejné správy s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Ústecký","Písemná práce",31,5,69,"36.5","21.3"
"Střední škola diplomacie a veřejné správy s.r.o.","Anglický jazyk","SOŠ pedagogické a humanitní","Ústecký","Písemná práce",31,5,69,"36.5","21.3"
"Střední odborná škola a Střední odborné učiliště. Neratovice. Školní 664","Anglický jazyk","SOŠ hotelové a podnikatelské","Středočeský","Písemná práce",25,4,"78.4","47.9","20.5"
"Střední odborná škola a Střední odborné učiliště. Neratovice. Školní 664","Anglický jazyk","SOŠ pedagogické a humanitní","Středočeský","Písemná práce",25,4,"78.4","47.9","20.5"
"Střední odborná škola a Střední odborné učiliště. Neratovice. Školní 664","Anglický jazyk","SOŠ technické 1","Středočeský","Písemná práce",25,4,"78.4","47.9","20.5"
"Střední škola umělecká a řemeslná","Anglický jazyk","SOU ostatní (nástavby)","Praha","Písemná práce",19,3,"55.3","41.8","16.9"
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Anglický jazyk","SOU technické (nástavby)","Moravskoslezský","Písemná práce",38,6,"56.8",39,"21.4"
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Moravskoslezský","Písemná práce",38,6,"56.8",39,"21.4"
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Anglický jazyk","SOŠ technické 2","Moravskoslezský","Písemná práce",38,6,"56.8",39,"21.4"
"Střední škola umělecká a řemeslná","Anglický jazyk","SOU ostatní","Praha","Písemná práce",19,3,"55.3","41.8","16.9"
"Střední  škola technická a dopravní. Ostrava-Vítkovice. příspěvková organizace","Anglický jazyk","SOU technické","Moravskoslezský","Písemná práce",38,6,"56.8",39,"21.4"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická. Kolín. Karoliny Světlé 135","Anglický jazyk","Lyceum","Středočeský","Písemná práce",39,6,80,"41.5","20.9"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická. Kolín. Karoliny Světlé 135","Anglický jazyk","SOŠ zdravotnické","Středočeský","Písemná práce",39,6,80,"41.5","20.9"
"Střední škola uměleckořemeslná a oděvní Liberec. s.r.o.","Anglický jazyk","SOŠ umělecké","Liberecký","Písemná práce",7,1,100,"35.8",22
"Střední škola Strážnice. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Jihomoravský","Písemná práce",59,8,"86.3","44.3","21.7"
"Střední škola Strážnice. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Jihomoravský","Písemná práce",59,8,"86.3","44.3","21.7"
"Střední škola Strážnice. příspěvková organizace","Anglický jazyk","SOŠ technické 2","Jihomoravský","Písemná práce",59,8,"86.3","44.3","21.7"
"Střední škola Strážnice. příspěvková organizace","Anglický jazyk","SOŠ umělecké","Jihomoravský","Písemná práce",59,8,"86.3","44.3","21.7"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Znojmo. příspěvková organizace","Anglický jazyk","SOŠ zdravotnické","Jihomoravský","Písemná práce",34,4,"66.7","40.4","20.7"
"Střední škola průmyslová. Krnov. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Moravskoslezský","Písemná práce",53,6,"92.1","38.7","22.5"
"Střední škola průmyslová. Krnov. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Moravskoslezský","Písemná práce",53,6,"92.1","38.7","22.5"
"Střední škola průmyslová. Krnov. příspěvková organizace","Anglický jazyk","SOU ostatní","Moravskoslezský","Písemná práce",53,6,"92.1","38.7","22.5"
"Střední škola průmyslová. Krnov. příspěvková organizace","Anglický jazyk","SOU technické","Moravskoslezský","Písemná práce",53,6,"92.1","38.7","22.5"
"Střední odborná škola Olomouc spol. s r. o.","Anglický jazyk","SOŠ pedagogické a humanitní","Olomoucký","Písemná práce",9,1,"62.5","40.4","16.9"
"Střední škola vizuální tvorby. s.r.o.","Anglický jazyk","SOŠ umělecké","Královéhradecký","Písemná práce",36,4,"97.3","43.8","19.8"
"EDUCA Pardubice - Střední odborná škola. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Pardubický","Písemná práce",19,2,"79.3","36.9",19
"EDUCA Pardubice - Střední odborná škola. s.r.o.","Anglický jazyk","SOŠ technické 1","Pardubický","Písemná práce",19,2,"79.3","36.9",19
"Střední škola gastronomická Adolpha Kolpinga","Anglický jazyk","SOU ostatní (nástavby)","Vysočina","Písemná práce",10,1,"64.7","45.5","23.6"
"Integrovaná střední škola Hodonín. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Jihomoravský","Písemná práce",30,3,"87.8","37.3","18.2"
"Integrovaná střední škola Hodonín. příspěvková organizace","Anglický jazyk","SOU ostatní","Jihomoravský","Písemná práce",30,3,"87.8","37.3","18.2"
"Integrovaná střední škola Hodonín. příspěvková organizace","Anglický jazyk","SOU technické","Jihomoravský","Písemná práce",30,3,"87.8","37.3","18.2"
"Střední škola obchodní. České Budějovice. Husova 9","Anglický jazyk","SOU ostatní (nástavby)","Jihočeský","Písemná práce",63,6,"81.2","47.3","18.9"
"Střední škola obchodní. České Budějovice. Husova 9","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihočeský","Písemná práce",63,6,"81.2","47.3","18.9"
"Střední škola obchodní. České Budějovice. Husova 9","Anglický jazyk","SOU ostatní","Jihočeský","Písemná práce",63,6,"81.2","47.3","18.9"
"Střední škola André Citroëna Boskovice. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Jihomoravský","Písemná práce",43,4,"62.5","45.7","19.7"
"Střední škola André Citroëna Boskovice. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Jihomoravský","Písemná práce",43,4,"62.5","45.7","19.7"
"Střední škola André Citroëna Boskovice. příspěvková organizace","Anglický jazyk","SOU technické","Jihomoravský","Písemná práce",43,4,"62.5","45.7","19.7"
"Soukromá střední škola pro marketing a ekonomiku podnikání s.r.o.","Anglický jazyk","SOŠ ekonomické","Ústecký","Písemná práce",44,3,"85.7","45.5",18
